trajectory	start     	end       	x1        	y1        	x2        	y2        	duration  	distance  	rate      	angle (deg)	msd_y	L_um	F_pN_abs	F_pN	
2	222.45	223.5	-0.136	0.003	0.358	-0.104	1.05	0.506	0.482	-12.24	1.807860334780888e-14	14.56604917012123	2.062717709114804	2.062717709114804
84	133.35	134.25	0.107	-0.09	-0.288	-0.307	0.9	0.451	0.501	-151.207	1.118354628561453e-14	14.83144747723535	2.919076179430026	-2.919076179430026
325	117.9	119.1	0.08799999999999999	-0.371	-0.286	-0.256	1.2	0.392	0.327	162.796	1.909681169784335e-14	14.53094131618142	1.978886272775542	-1.978886272775542
349	130.65	131.85	0.018	0.177	-0.805	-0.074	1.2	0.86	0.717	-163.013	1.238713528430232e-14	14.780668073576	2.717509369210993	-2.717509369210993
482	135.6	136.65	-0.07000000000000001	0.029	0.134	0.19	1.05	0.261	0.248	38.214	2.312343879815701e-14	14.39903616442435	1.706429000303305	1.706429000303305
488	125.7	126.9	0.114	-0.241	-0.44	0.16	1.2	0.6830000000000001	0.57	144.095	1.207184504132231e-14	14.7937388085383	2.767315214725164	-2.767315214725164
670	133.65	134.85	0.128	0.014	-0.13	-0.123	1.2	0.292	0.243	-151.975	2.845119745452633e-15	15.31647282998256	6.930010259794554	-6.930010259794554
793	134.55	135.45	-0.946	0.258	-1.49	0.061	0.9	0.579	0.643	-160.086	1.462044109419385e-14	14.69211678523125	2.413434892689247	-2.413434892689247
889	121.05	121.95	-0.037	0.126	0.037	0.147	0.9	0.076	0.08500000000000001	15.455	4.121552211341832e-14	13.89014819381425	1.055275234608192	1.055275234608192
920	240.3	242.4	0.131	-0.103	0.613	-0.094	2.1	0.482	0.229	0.984	2.059547863636754e-14	14.4806440915508	1.867597176335325	1.867597176335325
949	131.1	132.3	-0.019	-0.018	-0.8139999999999999	-0.018	1.2	0.795	0.663	-179.971	2.427537632733146e-14	14.3630268800543	1.642030382615504	-1.642030382615504
1102	157.35	158.55	-0.198	-0.012	-0.651	-0.297	1.2	0.535	0.446	-147.789	8.546144502017706e-15	14.95284250600196	3.504505797592394	-3.504505797592394
1160	127.8	128.85	0.126	-0.129	-0.112	0.017	1.05	0.28	0.266	148.454	1.457974192184196e-14	14.69367367616711	2.418323124408927	-2.418323124408927
1208	146.55	147.6	0.01	0.143	-0.248	-0.1	1.05	0.354	0.337	-136.651	1.351871553879217e-14	14.73497142217825	2.553721867537994	-2.553721867537994
1219	132.6	133.5	0.03	-0.107	0.304	-0.128	0.9	0.274	0.305	-4.441	1.327949023672973e-14	14.74448202001905	2.586544635533315	2.586544635533315
1445	132.75	134.25	-0.266	0.042	-1.29	0.031	1.5	1.024	0.6830000000000001	-179.355	1.868119232093665e-14	14.545175259197	2.012233171893562	-2.012233171893562
1445	138.15	140.1	-1.69	-0.145	-2.898	0.054	1.95	1.224	0.628	170.611	1.868119232093665e-14	14.545175259197	2.012233171893562	-2.012233171893562
1521	175.65	176.85	0.477	-0.399	0.9379999999999999	-0.291	1.2	0.473	0.394	13.112	2.636995822960302e-14	14.29919650578336	1.536716323055035	1.536716323055035
