 	trajectory	start	end
1	16	384.600	465.150
2	61	409.200	430.350
3	65	388.050	404.400
4	82	363.750	398.700
5	99	433.650	493.050
6	107	402.450	475.350
7	173	391.050	430.650
8	290	411.450	434.250
9	304	394.500	458.250
10	317	364.050	424.650
11	379	361.950	444.150
12	382	369.300	382.350
13	416	369.900	377.400
14	417	361.950	400.350
15	441	562.500	570.900
16	465	448.800	458.850
17	626	373.800	393.300
18	671	527.850	552.150
19	674	414.150	446.850
20	705	379.050	459.450
21	748	443.700	472.800
22	775	363.150	429.450
23	833	369.900	424.200
24	835	379.650	422.250
25	837	377.400	444.900
26	846	367.200	446.550
27	863	446.400	522.300
28	871	365.850	419.250
29	903	422.850	480.150
30	942	399.300	418.800
31	986	365.100	438.450
32	1014	415.650	499.050
33	1076	425.250	450.300
34	1082	364.650	426.300
35	1107	369.300	407.250
36	1137	415.650	459.750
37	1148	457.200	504.000
38	1351	373.650	432.300
39	1380	385.500	437.400
40	1431	432.750	455.250
41	1456	360.150	395.250
42	1459	445.200	471.450
43	1472	363.300	415.950
44	1479	380.250	402.900
45	1498	364.500	428.100
46	1512	390.900	417.150
47	1520	519.750	544.500
48	1524	363.900	428.550
49	1529	419.700	500.100
50	1530	365.700	415.500
51	1535	364.800	408.150
52	1560	365.850	407.550
53	1597	403.500	413.850
54	1708	368.700	399.900
55	1710	368.400	388.050
56	1724	362.250	420.300
57	1727	368.550	439.500
58	1752	364.650	389.250
59	1760	490.950	620.700
60	1768	362.850	381.150
61	1769	399.750	421.200
62	1774	373.650	390.150
63	1777	361.200	404.250
64	1784	366.900	414.600
65	1786	402.000	432.000
66	1797	363.300	393.000
67	1812	369.300	430.050
68	1817	368.100	384.450
69	1820	430.350	435.150
70	1837	369.900	429.900
71	1861	370.500	382.500
72	1912	443.250	472.200
73	1931	361.050	381.450
74	1964	370.800	393.450
75	2038	382.650	401.250
76	2052	367.050	429.300
77	2075	361.350	408.000
78	2091	372.150	462.900
79	2096	364.800	411.000
80	2120	361.800	390.000
81	2123	439.050	449.850
82	2133	398.100	430.800
83	2136	369.150	461.550
84	2140	365.700	424.350
85	2168	362.700	396.600
86	2184	396.900	410.700
87	2240	450.450	457.800
88	2256	362.400	377.100
89	2268	390.900	427.500
90	2274	392.400	434.850
91	2291	376.200	408.450
92	2347	491.850	540.900
93	2386	407.400	434.700
94	2389	369.000	407.850
95	2410	378.900	399.000
96	2466	366.600	394.950
97	2468	412.200	421.050
98	2474	374.100	425.550
99	2492	373.350	416.700
100	2504	415.500	456.300
101	2531	434.850	454.200
102	2534	364.200	419.400
103	2561	376.500	391.950
104	2569	377.700	385.200
105	2593	389.550	423.600
106	2652	365.550	431.850
107	2661	376.050	395.850
108	2683	362.550	398.250
109	2706	492.450	518.100
110	2723	372.750	396.750
111	2732	361.050	383.550
112	2733	367.500	407.550
113	2738	360.750	415.800
114	2748	449.250	487.500
115	2756	370.050	429.450
116	2762	377.100	390.750
117	2768	364.200	419.550
118	2769	373.800	387.900
119	2771	401.550	444.450
120	2782	365.700	395.100
121	2784	407.100	441.450
122	2794	364.350	400.950
123	2810	366.900	433.050
124	2821	363.300	406.050
125	2822	361.650	422.550
126	2830	382.650	472.350
127	2845	371.100	402.450
128	2862	371.550	414.000
129	2876	363.150	391.950
130	2896	385.200	395.250
131	2900	383.700	405.300
132	2908	419.550	437.700
133	2919	385.950	409.500
134	2964	386.100	437.850
135	2966	378.600	388.500
136	3025	361.500	382.950
137	3056	366.150	424.050
138	3073	460.650	470.400
139	3128	361.650	420.150
140	3205	380.100	416.700
141	3209	406.800	428.850
142	3216	389.250	446.850
143	3253	413.400	421.350
144	3320	421.200	438.900
145	3330	427.350	442.350
146	3344	490.050	529.050
147	3373	434.850	458.700
148	3375	468.900	493.800
149	3385	465.300	481.950
150	3399	435.000	501.900
151	3428	451.800	503.850
152	3433	436.800	477.150
153	3436	434.100	440.850
154	3440	433.800	443.400
155	3453	435.750	448.800
156	3474	456.600	486.150
157	3480	442.200	466.650
158	3511	451.950	465.300
159	3535	442.200	450.300
160	3536	470.400	495.750
161	3548	522.750	531.450
162	3555	456.300	464.850
163	3561	456.750	472.200
164	3581	460.800	488.250
165	3603	550.200	557.550
166	3607	474.000	495.750
167	3614	512.100	521.100
168	3629	475.500	486.000
169	3655	480.900	487.050
