 	Area	Mean	StdDev	Mode	Min	Max	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	IntDen	Median	Skew	Kurt	%Area	RawIntDen	Slice	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity	Length
31	23	59.355	30.438	44.170	43.521	154.333	1268.250	762.500	0	0	21.523	1258	762	22	1	0	0	2.603	0.624	21.024	1365.169	0	0	0	0	1365.169	1	1258	763	2.726	0.083	0	0	NaN	21.523
32	6	94.000	50.654	54.257	54	185.333	839	799	0	0	6	836	799	6	0	0	0	0	1	6	564.000	0	0	0	0	564.000	1	836	799	0	0	0	0	NaN	6
33	23	57.654	21.155	46.249	44.727	115.561	924.250	798.500	0	0	21.500	914	799	22	0	0	0	0	0.625	21	1326.049	0	0	0	0	1326.049	1	914	799	0	0	0	0	NaN	21.500
34	19	63.057	33.696	45.990	45.750	168.417	1026.500	804.500	0	0	18	1018	805	18	0	0	0	0	0.737	18	1198.083	0	0	0	0	1198.083	1	1018	805	0	0	0	0	NaN	18
35	21	60.053	30.016	44.061	43	151.667	1356	1055.250	0	0	20.006	1346	1055	20	1	0	0	0	0.659	20.025	1261.108	0	0	0	0	1261.108	1	1346	1055	177.138	0.048	0	0	NaN	20.006
36	23	55.289	21.276	45.067	43.807	115.481	1366.250	1076.500	0	0	21.500	1356	1077	22	0	0	0	0	0.625	21	1271.640	0	0	0	0	1271.640	1	1356	1077	0	0	0	0	NaN	21.500
37	21	51.627	20.047	42.918	41.350	114.333	1000.750	1125.250	0	0	19.506	991	1125	20	1	0	0	0	0.694	20.025	1084.170	0	0	0	0	1084.170	1	991	1126	2.862	0.048	0	0	NaN	19.506
38	22	61.310	32.249	43.310	42.181	157.750	1239.250	1111.250	0	0	20.506	1229	1111	21	1	0	0	0	0.657	21.024	1348.824	0	0	0	0	1348.824	1	1229	1111	177.274	0.083	0	0	NaN	20.506
39	17	51.016	14.730	43.243	42.314	95.167	1482.750	1136	0	0	15.532	1475	1136	16	1	0	0	-3.814	0.886	16.031	867.280	0	0	0	0	867.280	1	1475	1136	176.424	0.021	0	0	NaN	15.532
40	22	58.479	34.683	43.523	41.571	184.333	1184.500	1184.250	0	0	21.006	1174	1184	21	1	0	0	0	0.627	21.024	1286.540	0	0	0	0	1286.540	1	1174	1185	2.726	0.083	0	0	NaN	21.006
41	21	51.785	21.088	42.094	41	121	1118	1284.750	0	0	20.006	1108	1285	20	1	0	0	-2.862	0.659	20	1087.475	0	0	0	0	1087.475	1	1108	1285	0	0	0	0	NaN	20.006
42	23	50.248	15.545	42.610	41.682	94.500	1516.750	1284.500	0	0	21.500	1506	1285	22	0	0	0	0	0.625	22	1155.705	0	0	0	0	1155.705	1	1506	1285	0	0	0	0	NaN	21.500
43	23	53.667	22.628	40.917	40.500	111.667	1189.500	1394	0	0	22	1179	1394	22	0	0	0	0	0.597	22	1234.333	0	0	0	0	1234.333	1	1179	1394	0	0	0	0	NaN	22
44	23	59.596	32.239	41.153	40.943	148.443	1114.500	1606.750	0	0	22.006	1104	1607	22	1	0	0	-2.603	0.597	22	1370.697	0	0	0	0	1370.697	1	1104	1607	0	0	0	0	NaN	22.006
45	23	53.617	22.480	41.917	40.636	113.515	1291	1624.250	0	0	22.006	1280	1624	22	1	0	0	0	0.597	22.023	1233.197	0	0	0	0	1233.197	1	1280	1625	2.603	0.039	0	0	NaN	22.006
46	24	57.241	32.480	39.969	39.287	155.667	812.250	1640	0	0	22.522	801	1640	23	1	0	0	2.603	0.595	23.022	1373.780	0	0	0	0	1373.780	1	801	1641	2.490	0.004	0	0	NaN	22.522
47	23	56.155	28.299	42.846	41.379	148.667	1233.750	1668.250	0	0	21.506	1223	1668	22	1	0	0	0	0.625	22.023	1291.561	0	0	0	0	1291.561	1	1223	1669	2.603	0.039	0	0	NaN	21.506
48	23	50.643	18.000	41.451	40.614	101.833	1026.250	1711.500	0	0	21.500	1016	1712	22	0	0	0	0	0.625	21	1164.795	0	0	0	0	1164.795	1	1016	1712	0	0	0	0	NaN	21.500
49	23	49.480	15.984	41.234	41.105	107	829.750	1751.750	0	0	21.506	819	1752	22	1	0	0	-2.726	0.625	22	1138.050	0	0	0	0	1138.050	1	819	1752	0	0	0	0	NaN	21.506
50	22	50.303	17.870	42.100	40	111.667	1028	1805	0	0	22	1017	1805	22	0	0	0	0	0.571	22	1106.667	0	0	0	0	1106.667	1	1017	1805	0	0	0	0	NaN	22
51	22	53.127	23.215	41.137	39.857	112.667	1293.500	1786.250	0	0	21.006	1283	1786	21	1	0	0	0	0.627	21.024	1168.802	0	0	0	0	1168.802	1	1283	1787	2.726	0.083	0	0	NaN	21.006
52	20	54.592	21.139	43.604	42.368	112.667	914.500	1917.500	0	0	19.026	905	1917	19	1	0	0	3.013	0.694	19.026	1091.842	0	0	0	0	1091.842	1	905	1918	3.013	0.004	0	0	NaN	19.026
53	7	85.857	51.382	47.268	47	184.333	1375.500	1833	0	0	7	1372	1833	7	0	0	0	0	1	7	601.000	0	0	0	0	601.000	1	1372	1833	0	0	0	0	NaN	7
54	22	56.707	20.351	44.030	43.333	114.667	1643.500	171.750	0	0	21.006	1633	172	21	1	0	0	-2.726	0.627	21	1247.548	0	0	0	0	1247.548	1	1633	172	0	0	0	0	NaN	21.006
55	22	59.572	34.024	44.402	43.571	185.333	1819.500	151.250	0	0	21.006	1809	151	21	1	0	0	0	0.627	21.024	1310.587	0	0	0	0	1310.587	1	1809	151	177.274	0.083	0	0	NaN	21.006
56	23	52.348	13.736	44.969	44.500	92.500	1688.500	467	0	0	22	1678	467	22	0	0	0	0	0.597	22	1204.000	0	0	0	0	1204.000	1	1678	467	0	0	0	0	NaN	22
57	23	56.181	17.591	48.027	45	107	2275	516.500	0	0	22	2264	517	22	0	0	0	0	0.597	22	1292.167	0	0	0	0	1292.167	1	2264	517	0	0	0	0	NaN	22
58	23	58.197	31.361	45.010	43.636	184.333	1656.750	532	0	0	21.500	1646	532	22	0	0	0	0	0.625	22	1338.523	0	0	0	0	1338.523	1	1646	532	0	0	0	0	NaN	21.500
59	22	54.677	19.555	47.959	47.127	132.333	1844.750	592	0	0	20.500	1835	592	21	0	0	0	0	0.658	20	1202.889	0	0	0	0	1202.889	1	1835	592	0	0	0	0	NaN	20.500
60	21	55.704	16.985	50.402	47	116.667	1914.750	616	0	0	19.500	1905	616	20	0	0	0	0	0.694	20	1169.775	0	0	0	0	1169.775	1	1905	616	0	0	0	0	NaN	19.500
