 	trajectory	start	end
1	51	106.050	124.050
2	325	94.650	151.950
3	410	95.700	143.250
4	573	98.100	131.250
5	617	103.350	113.100
6	714	91.800	123.300
7	754	94.350	126.000
8	1001	91.500	118.650
9	1218	93.900	131.250
10	1350	92.250	140.850
11	1364	97.050	144.900
12	1370	92.250	109.800
13	1487	97.050	131.700
14	1518	93.300	113.550
15	1586	172.500	196.200
16	1598	91.050	116.550
17	1599	97.050	140.550
18	1726	91.500	104.850
19	1944	94.200	111.000
20	1974	120.300	148.350
21	2113	100.800	134.550
22	2186	95.850	120.150
23	2557	120.000	147.000
24	2700	108.000	118.050
25	3282	101.250	112.800
26	3338	92.850	111.600
27	3480	97.800	114.900
28	3628	116.250	155.100
29	3695	113.250	121.500
30	3882	111.450	128.550
31	3935	111.900	120.150
32	4552	136.200	155.100
33	4667	142.200	158.400
34	4805	161.700	176.250
35	5248	209.100	225.900
36	5401	213.000	234.750
