 	no	baseline	height	x	y	sigma_x	sigma_y	slice	trajectory	x_corr	y_corr	Time	SDx	SDy
1	159211	25.524	27.845	3162.547	234.419	0.664	0.563	601	211	-1.222	-0.090	90.150	0.000	0.000
2	159212	25.516	30.206	3162.566	234.469	0.410	0.539	602	211	-1.224	-0.014	90.300	0.001	0.053
3	159213	24.892	50.022	3162.317	234.362	0.566	0.594	603	211	-1.592	-0.174	90.450	0.213	0.080
4	159214	25.078	45.481	3162.309	234.268	0.651	0.555	604	211	-1.600	-0.318	90.600	0.215	0.130
5	159215	24.937	46.483	3162.277	234.300	0.673	0.566	605	211	-1.653	-0.294	90.750	0.216	0.130
6	159216	25.151	46.877	3162.223	234.363	0.605	0.555	606	211	-1.755	-0.189	90.900	0.228	0.117
7	159217	25.007	42.453	3162.215	234.241	0.675	0.643	607	211	-1.770	-0.379	91.050	0.230	0.130
8	159218	25.146	41.169	3162.261	234.316	0.655	0.666	608	211	-1.682	-0.245	91.200	0.219	0.121
9	159219	25.784	29.946	3162.533	234.383	0.451	0.590	609	211	-1.258	-0.150	91.350	0.228	0.115
10	159220	25.230	40.340	3162.227	234.464	0.654	0.698	610	211	-1.726	-0.008	91.500	0.224	0.126
11	159221	25.165	41.430	3162.238	234.478	0.603	0.694	611	211	-1.709	-0.006	91.650	0.218	0.131
12	159222	25.638	27.195	3162.636	234.405	0.400	0.678	612	211	-1.099	-0.091	91.800	0.247	0.127
13	159223	25.031	37.632	3162.240	234.430	0.739	0.678	613	211	-1.728	-0.075	91.950	0.244	0.124
14	159224	25.162	29.073	3162.469	234.349	0.540	0.582	614	211	-1.338	-0.184	92.100	0.240	0.119
15	159225	24.964	50.584	3162.273	234.388	0.588	0.557	615	211	-1.659	-0.142	92.250	0.234	0.115
16	159226	24.900	45.724	3162.227	234.347	0.611	0.587	616	211	-1.766	-0.187	92.400	0.233	0.111
17	159227	23.859	40.212	3162.307	234.383	0.655	0.791	617	211	-1.638	-0.104	92.550	0.227	0.109
18	159228	24.518	42.219	3162.221	234.444	0.606	0.651	618	211	-1.747	0.006	92.700	0.225	0.112
19	159229	25.826	46.770	3162.278	234.293	0.533	0.636	619	211	-1.683	-0.248	92.850	0.220	0.111
20	159230	25.247	45.194	3162.307	234.345	0.575	0.613	620	211	-1.621	-0.202	93.000	0.215	0.109
21	159231	25.206	43.573	3162.259	234.445	0.655	0.641	621	211	-1.696	-0.035	93.150	0.199	0.111
22	159232	24.918	43.911	3162.194	234.463	0.633	0.636	622	211	-1.763	0.003	93.300	0.182	0.113
23	159233	25.346	49.045	3162.191	234.544	0.648	0.582	623	211	-1.795	0.150	93.450	0.186	0.131
24	159234	25.369	44.986	3162.223	234.370	0.603	0.587	625	211	-1.725	-0.128	93.750	0.187	0.124
25	159235	25.650	34.689	3162.461	234.375	0.480	0.468	626	211	-1.334	-0.130	93.900	0.199	0.117
26	159236	25.078	45.386	3162.172	234.440	0.669	0.630	627	211	-1.811	-0.008	94.050	0.201	0.118
27	159237	24.931	38.843	3162.211	234.466	0.705	0.665	628	211	-1.765	-6.000E-4	94.200	0.201	0.102
28	159238	25.166	47.369	3162.315	234.296	0.602	0.581	629	211	-1.605	-0.254	94.350	0.200	0.102
29	159239	25.074	41.869	3162.372	234.335	0.670	0.677	630	211	-1.491	-0.194	94.500	0.184	0.104
30	159240	25.072	44.516	3162.196	234.517	0.626	0.626	632	211	-1.778	0.072	94.800	0.186	0.109
31	159241	24.827	45.982	3162.281	234.392	0.574	0.660	633	211	-1.619	-0.104	94.950	0.185	0.108
32	159242	25.177	48.282	3162.277	234.408	0.640	0.640	634	211	-1.664	-0.061	95.100	0.136	0.108
33	159243	25.558	31.587	3162.419	234.449	0.509	0.490	635	211	-1.438	-0.032	95.250	0.144	0.108
34	159244	24.619	42.468	3162.273	234.532	0.607	0.751	636	211	-1.653	0.091	95.400	0.124	0.113
35	159245	24.788	44.664	3162.238	234.473	0.599	0.681	637	211	-1.718	0.001	95.550	0.125	0.113
36	159246	24.675	46.301	3162.270	234.520	0.576	0.627	638	211	-1.675	0.086	95.700	0.122	0.115
37	159247	25.281	45.471	3162.150	234.490	0.607	0.642	639	211	-1.888	0.030	95.850	0.132	0.116
38	159248	24.811	45.291	3162.242	234.546	0.602	0.633	640	211	-1.725	0.104	96.000	0.132	0.120
39	159249	25.458	45.160	3162.175	234.604	0.582	0.638	641	211	-1.837	0.213	96.150	0.137	0.123
40	159250	25.281	45.731	3162.186	234.586	0.637	0.597	642	211	-1.810	0.166	96.300	0.139	0.122
41	159251	24.922	46.597	3162.312	234.544	0.646	0.572	643	211	-1.603	0.096	96.450	0.140	0.123
42	159252	25.194	30.720	3162.482	234.466	0.529	0.577	644	211	-1.341	-0.051	96.600	0.158	0.124
43	159253	25.132	32.635	3162.443	234.349	0.454	0.622	645	211	-1.402	-0.235	96.750	0.166	0.129
44	159254	25.148	30.967	3162.532	234.422	0.540	0.614	646	211	-1.275	-0.106	96.900	0.184	0.128
45	159255	25.133	39.021	3162.326	234.539	0.696	0.683	647	211	-1.603	0.078	97.050	0.171	0.127
46	159256	24.409	40.362	3162.292	234.500	0.709	0.728	648	211	-1.656	-0.002	97.200	0.166	0.127
47	159257	25.466	35.115	3162.452	234.416	0.507	0.498	649	211	-1.405	-0.117	97.350	0.170	0.130
48	159258	24.916	36.435	3162.281	234.582	0.645	0.732	650	211	-1.701	0.120	97.500	0.171	0.119
49	159259	25.876	31.103	3162.438	234.450	0.554	0.494	651	211	-1.453	-0.048	97.650	0.172	0.110
50	159260	25.665	29.078	3162.557	234.446	0.486	0.576	652	211	-1.238	-0.067	97.800	0.187	0.111
51	159261	25.511	33.241	3162.463	234.489	0.479	0.640	654	211	-1.397	0.022	98.100	0.191	0.108
52	159262	24.554	42.178	3162.298	234.488	0.656	0.655	655	211	-1.699	0.008	98.250	0.192	0.106
53	159263	25.004	45.498	3162.215	234.594	0.609	0.660	656	211	-1.811	0.181	98.400	0.196	0.112
54	159264	24.802	45.814	3162.268	234.566	0.603	0.627	658	211	-1.722	0.102	98.700	0.198	0.112
55	159265	24.791	41.920	3162.195	234.418	0.627	0.680	659	211	-1.824	-0.088	98.850	0.203	0.115
56	159266	24.936	38.648	3162.230	234.397	0.640	0.728	660	211	-1.786	-0.168	99.000	0.206	0.122
57	159267	25.262	39.938	3162.193	234.449	0.623	0.591	661	211	-1.813	-0.066	99.150	0.202	0.123
58	159268	24.619	44.662	3162.185	234.362	0.645	0.633	662	211	-1.850	-0.166	99.300	0.207	0.126
59	159269	24.943	18.820	3162.121	234.348	1.068	0.753	663	211	-1.971	-0.179	99.450	0.217	0.121
60	159270	24.768	38.277	3162.276	234.343	0.653	0.723	665	211	-1.709	-0.200	99.750	0.213	0.118
61	159271	24.831	39.112	3162.250	234.487	0.672	0.692	666	211	-1.725	0.011	99.900	0.215	0.114
62	159272	24.893	44.829	3162.228	234.372	0.632	0.715	668	211	-1.789	-0.173	100.200	0.208	0.117
63	159273	24.987	39.505	3162.235	234.436	0.646	0.659	669	211	-1.786	-0.059	100.350	0.202	0.109
64	159274	24.701	38.523	3162.288	234.435	0.676	0.658	670	211	-1.670	-0.056	100.500	0.180	0.109
65	159275	24.580	41.807	3162.303	234.465	0.598	0.737	671	211	-1.613	-0.026	100.650	0.180	0.105
66	159276	25.029	50.394	3162.227	234.517	0.579	0.599	672	211	-1.755	0.090	100.800	0.181	0.109
67	159277	24.762	46.282	3162.240	234.431	0.573	0.652	673	211	-1.768	-0.070	100.950	0.169	0.108
68	159278	24.725	39.623	3162.169	234.433	0.655	0.708	674	211	-1.816	-0.054	101.100	0.171	0.101
69	159279	25.636	58.835	3162.159	234.479	0.541	0.474	675	211	-1.856	0.006	101.250	0.162	0.102
70	159280	25.576	39.932	3162.174	234.327	0.537	0.400	676	211	-1.838	-0.222	101.400	0.116	0.109
71	159281	24.923	51.359	3162.180	234.403	0.591	0.607	677	211	-1.818	-0.098	101.550	0.078	0.108
72	159282	24.858	42.595	3162.173	234.414	0.598	0.655	678	211	-1.824	-0.064	101.700	0.076	0.106
73	159283	25.388	31.410	3162.453	234.410	0.499	0.612	679	211	-1.365	-0.085	101.850	0.121	0.089
74	159284	24.832	48.059	3162.266	234.509	0.616	0.609	680	211	-1.678	0.085	102.000	0.122	0.088
75	159285	24.881	48.691	3162.260	234.460	0.607	0.614	681	211	-1.675	0.005	102.150	0.123	0.090
76	159286	25.406	25.146	3162.746	234.583	0.428	0.684	682	211	-0.904	0.213	102.300	0.226	0.107
77	159287	24.652	43.675	3162.247	234.417	0.639	0.701	683	211	-1.723	-0.082	102.450	0.225	0.107
78	159288	24.670	37.907	3162.209	234.401	0.700	0.667	684	211	-1.758	-0.085	102.600	0.223	0.104
79	159289	25.336	42.074	3162.243	234.394	0.616	0.648	685	211	-1.666	-0.107	102.750	0.214	0.101
80	159290	25.276	46.141	3162.296	234.298	0.557	0.667	686	211	-1.589	-0.243	102.900	0.215	0.105
81	159291	24.990	42.505	3162.275	234.304	0.644	0.631	687	211	-1.629	-0.258	103.050	0.215	0.113
82	159292	25.137	32.210	3162.500	234.396	0.521	0.628	689	211	-1.259	-0.093	103.350	0.232	0.111
83	159293	24.747	48.288	3162.232	234.462	0.676	0.524	690	211	-1.709	0.021	103.500	0.230	0.112
84	159294	25.088	11.224	3162.310	234.713	0.627	0.915	691	211	-1.621	0.422	103.650	0.230	0.155
85	159295	25.914	29.273	3162.601	234.403	0.465	0.499	692	211	-1.104	-0.101	103.800	0.260	0.156
86	159296	24.916	42.922	3162.202	234.433	0.596	0.721	693	211	-1.790	-0.006	103.950	0.261	0.153
87	159297	24.510	41.592	3162.236	234.457	0.640	0.658	694	211	-1.755	-0.003	104.100	0.261	0.153
88	159298	25.169	44.823	3162.314	234.469	0.628	0.593	695	211	-1.624	0.027	104.250	0.257	0.154
89	159299	25.451	44.489	3162.261	234.403	0.602	0.618	696	211	-1.693	-0.054	104.400	0.251	0.154
90	159300	24.970	44.253	3162.253	234.453	0.620	0.658	697	211	-1.712	0.014	104.550	0.246	0.148
91	159301	24.927	46.095	3162.238	234.462	0.672	0.615	698	211	-1.755	0.042	104.700	0.244	0.147
92	159302	24.362	36.669	3162.250	234.537	0.715	0.772	699	211	-1.715	0.173	104.850	0.239	0.153
93	159303	24.942	46.368	3162.159	234.405	0.646	0.600	700	211	-1.856	-0.029	105.000	0.240	0.152
94	159304	25.736	30.635	3162.443	234.527	0.500	0.549	701	211	-1.421	0.173	105.150	0.244	0.156
95	159305	25.085	41.435	3162.261	234.430	0.660	0.605	702	211	-1.714	-0.021	105.300	0.244	0.156
96	159306	24.658	41.987	3162.256	234.313	0.642	0.660	703	211	-1.691	-0.192	105.450	0.182	0.153
97	159307	25.347	47.709	3162.263	234.383	0.553	0.610	704	211	-1.704	-0.086	105.600	0.181	0.153
98	159308	24.939	46.224	3162.166	234.368	0.598	0.587	705	211	-1.848	-0.102	105.750	0.186	0.153
99	159309	24.838	41.639	3162.265	234.387	0.706	0.655	706	211	-1.699	-0.069	105.900	0.186	0.152
100	159310	24.732	43.980	3162.245	234.444	0.645	0.629	707	211	-1.733	0.005	106.050	0.186	0.143
101	159311	25.220	45.122	3162.244	234.438	0.695	0.582	708	211	-1.741	0.006	106.200	0.187	0.130
102	159312	25.014	55.054	3162.287	234.328	0.529	0.529	709	211	-1.672	-0.202	106.350	0.162	0.137
103	159313	24.729	51.741	3162.310	234.251	0.591	0.569	710	211	-1.643	-0.342	106.500	0.162	0.157
104	159314	25.450	46.409	3162.298	234.343	0.644	0.581	711	211	-1.642	-0.157	106.650	0.162	0.121
105	159315	25.304	40.087	3162.289	234.338	0.544	0.761	712	211	-1.680	-0.200	106.800	0.090	0.125
106	159316	24.844	38.867	3162.346	234.570	0.710	0.736	713	211	-1.571	0.198	106.950	0.093	0.137
107	159317	24.629	44.873	3162.318	234.503	0.636	0.654	714	211	-1.610	0.072	107.100	0.093	0.139
108	159318	24.741	46.695	3162.256	234.483	0.604	0.637	715	211	-1.712	0.042	107.250	0.092	0.139
109	159319	24.903	50.302	3162.261	234.332	0.567	0.579	716	211	-1.720	-0.208	107.400	0.092	0.144
110	159320	25.340	36.948	3162.386	234.257	0.381	0.591	717	211	-1.512	-0.314	107.550	0.101	0.156
111	159321	25.431	35.569	3162.406	234.425	0.435	0.568	718	211	-1.491	-0.053	107.700	0.108	0.154
112	159322	25.488	35.577	3162.527	234.413	0.439	0.626	719	211	-1.270	-0.069	107.850	0.139	0.143
113	159323	25.176	43.880	3162.245	234.259	0.595	0.636	721	211	-1.722	-0.328	108.150	0.131	0.153
114	159324	24.819	43.313	3162.314	234.259	0.694	0.609	722	211	-1.595	-0.309	108.300	0.121	0.147
115	159325	24.528	51.602	3162.220	234.328	0.605	0.528	723	211	-1.750	-0.194	108.450	0.123	0.146
116	159326	24.875	44.137	3162.247	234.418	0.635	0.643	725	211	-1.702	-0.077	108.750	0.123	0.146
117	159327	25.045	49.530	3162.236	234.408	0.629	0.617	726	211	-1.770	-0.101	108.900	0.125	0.145
118	159328	24.665	39.854	3162.297	234.536	0.738	0.673	727	211	-1.651	0.115	109.050	0.117	0.155
119	159329	25.373	48.703	3162.281	234.482	0.677	0.561	728	211	-1.691	0.002	109.200	0.116	0.156
