 	no	baseline	height	x	y	sigma_x	sigma_y	slice	trajectory	x_corr	y_corr	Time	SDx	SDy
1	25958	23.880	50.350	1972.015	329.255	0.599	0.568	601	40	0.170	-0.174	90.150	0.000	0.000
2	25959	23.701	56.266	1971.990	329.252	0.534	0.535	602	40	0.098	-0.186	90.300	0.051	0.008
3	25960	23.943	47.984	1971.975	329.312	0.566	0.618	603	40	0.104	-0.078	90.450	0.040	0.059
4	25961	23.481	50.437	1971.950	329.304	0.506	0.576	604	40	0.069	-0.085	90.600	0.043	0.057
5	25962	24.190	44.773	1971.984	329.205	0.588	0.613	605	40	0.123	-0.270	90.750	0.037	0.080
6	25963	23.781	48.590	1971.966	329.210	0.551	0.560	606	40	0.078	-0.256	90.900	0.036	0.082
7	25964	23.915	48.251	1971.983	329.318	0.561	0.611	607	40	0.102	-0.080	91.050	0.033	0.083
8	25965	23.986	50.534	1971.934	329.265	0.613	0.578	608	40	0.038	-0.150	91.200	0.039	0.077
9	25966	24.395	57.031	1972.001	329.280	0.565	0.521	609	40	0.136	-0.139	91.350	0.039	0.072
10	25967	23.645	51.679	1972.010	329.274	0.558	0.591	610	40	0.171	-0.136	91.500	0.042	0.068
11	25968	24.125	34.366	1970.745	329.212	-0.436	0.559	611	40	-1.854	-0.256	91.650	0.593	0.072
12	25969	24.504	51.302	1971.925	329.217	0.573	0.568	612	40	0.006	-0.214	91.800	0.566	0.070
13	25970	24.121	48.450	1971.933	329.283	0.594	0.564	613	40	0.024	-0.133	91.950	0.543	0.067
14	25971	23.830	52.714	1971.951	329.274	0.604	0.537	614	40	0.077	-0.128	92.100	0.522	0.066
15	25972	23.833	52.420	1971.947	329.237	0.575	0.585	615	40	0.064	-0.206	92.250	0.504	0.064
16	25973	23.562	47.552	1971.928	329.264	0.579	0.631	616	40	-2.000E-4	-0.144	92.400	0.487	0.062
17	25974	24.174	47.721	1971.975	329.250	0.561	0.601	617	40	0.075	-0.141	92.550	0.473	0.060
18	25975	24.002	47.948	1972.001	329.228	0.566	0.560	618	40	0.144	-0.162	92.700	0.460	0.059
19	25976	24.493	56.461	1971.981	329.313	0.496	0.532	619	40	0.085	-0.040	92.850	0.448	0.064
20	25977	24.142	47.003	1971.972	329.309	0.541	0.648	620	40	0.086	-0.083	93.000	0.437	0.064
21	25978	23.826	12.090	1970.022	329.223	-0.617	1.096	621	40	-3.032	-0.213	93.150	0.802	0.065
