 	no	baseline	height	x	y	sigma_x	sigma_y	slice	trajectory	x_corr	y_corr	Time	SDx	SDy
1	82798	21.348	48.554	1690.113	1618.053	0.629	0.498	601	90	0.027	-0.053	90.150	0.000	0.000
2	82799	21.152	47.175	1690.143	1618.052	0.618	0.522	602	90	0.043	-0.059	90.300	0.011	0.004
3	82800	20.988	52.063	1690.064	1617.981	0.665	0.557	603	90	-0.051	-0.162	90.450	0.050	0.061
4	82801	21.315	46.599	1690.021	1618.009	0.642	0.519	604	90	-0.115	-0.110	90.600	0.074	0.051
5	82802	21.222	45.957	1690.153	1618.037	0.654	0.496	605	90	0.094	-0.093	90.750	0.083	0.044
6	82803	20.945	42.679	1690.100	1618.012	0.757	0.573	606	90	-0.006	-0.128	90.900	0.074	0.042
7	82804	21.160	49.252	1690.137	1618.069	0.644	0.523	607	90	0.050	-0.032	91.050	0.070	0.046
8	82805	20.947	46.241	1690.189	1618.088	0.655	0.564	608	90	0.149	0.013	91.200	0.082	0.056
9	82806	21.301	44.915	1690.112	1618.013	0.637	0.543	609	90	0.014	-0.120	91.350	0.077	0.054
10	82807	21.185	44.572	1690.071	1618.048	0.684	0.583	610	90	-0.030	-0.051	91.500	0.075	0.052
11	82808	21.106	42.101	1690.086	1618.049	0.702	0.516	611	90	-0.008	-0.070	91.650	0.071	0.050
12	82809	20.839	46.761	1690.132	1618.028	0.680	0.537	612	90	0.038	-0.072	91.800	0.068	0.047
13	82810	21.214	49.483	1690.160	1618.058	0.637	0.555	613	90	0.088	-0.046	91.950	0.068	0.046
14	82811	21.207	40.465	1690.176	1618.095	0.721	0.519	614	90	0.138	0.032	92.100	0.072	0.053
15	82812	21.346	49.350	1690.131	1618.009	0.635	0.529	615	90	0.059	-0.125	92.250	0.070	0.053
16	82813	21.388	47.936	1690.142	1618.024	0.632	0.537	616	90	0.043	-0.082	92.400	0.068	0.051
17	82814	21.469	44.471	1690.050	1618.089	0.672	0.574	617	90	-0.104	0.048	92.550	0.074	0.058
18	82815	20.995	42.106	1690.083	1617.977	0.640	0.554	618	90	-0.024	-0.117	92.700	0.072	0.057
19	82816	21.818	48.576	1690.088	1618.024	0.603	0.496	619	90	-0.042	-0.056	92.850	0.072	0.056
20	82817	21.460	45.050	1690.041	1618.082	0.660	0.546	620	90	-0.102	3.000E-4	93.000	0.075	0.056
21	82818	21.230	49.106	1690.081	1618.020	0.663	0.533	621	90	-0.035	-0.093	93.150	0.076	0.056
22	82819	21.593	46.390	1690.043	1617.954	0.692	0.531	622	90	-0.059	-0.189	93.300	0.077	0.063
23	82820	21.080	45.187	1690.098	1618.023	0.686	0.530	623	90	0.002	-0.061	93.450	0.076	0.059
24	82821	21.515	47.148	1690.099	1618.000	0.617	0.548	624	90	0.018	-0.109	93.600	0.070	0.059
25	82822	21.456	49.790	1690.153	1618.021	0.626	0.484	625	90	0.109	-0.062	93.750	0.071	0.059
26	82823	21.542	44.756	1690.138	1618.076	0.658	0.492	626	90	0.094	0.014	93.900	0.073	0.060
27	82824	21.594	46.457	1690.074	1617.984	0.650	0.544	627	90	-0.022	-0.114	94.050	0.073	0.060
28	82825	21.210	46.594	1690.059	1617.962	0.695	0.525	628	90	-0.062	-0.184	94.200	0.068	0.063
29	82826	21.445	50.115	1690.111	1618.015	0.654	0.562	630	90	0.037	-0.082	94.500	0.068	0.062
30	82827	20.660	49.871	1690.087	1618.041	0.627	0.505	631	90	-0.006	-0.056	94.650	0.068	0.062
31	82828	21.184	47.373	1690.122	1617.992	0.650	0.534	633	90	0.070	-0.120	94.950	0.069	0.063
32	82829	21.019	48.414	1690.093	1618.009	0.661	0.483	634	90	-0.013	-0.075	95.100	0.069	0.063
33	82830	21.197	52.166	1690.133	1618.052	0.626	0.507	635	90	0.050	-0.043	95.250	0.067	0.063
34	82831	21.098	43.145	1690.058	1618.022	0.717	0.543	636	90	-0.051	-0.102	95.400	0.061	0.059
